Episode,Step,State,Action,Reward,Collision_Probability,Collision_Probability_List,Action_Description,Done
200,10,"[ 3.06053925e+02  3.54158974e+01  2.02563904e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.45313098e-02  4.63347549e+01  3.59993042e+02  8.56482677e+00
  8.00000000e+00  8.00000000e+00  2.21812960e+01  1.00047727e+01
  1.53147122e+02  1.39427694e+02  1.69185764e+00  5.47448214e+00
  5.45314018e+00  6.26819254e+00  3.52763861e-01  2.65208721e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.69105316e+01  1.00000000e+02
  1.53574369e-01 -2.81893762e+00  1.00000000e+00]",41,-1,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",NPC vehicle drive-opposite?maintainlane=0&position=near,False
200,11,"[ 3.06053925e+02  3.54158974e+01  2.02563904e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.45313098e-02  4.63347549e+01  3.59993042e+02  8.56482677e+00
  9.00000000e+00  9.00000000e+00  2.21812960e+01  1.00047727e+01
  1.53147122e+02  1.39427694e+02  1.34830850e+00  5.47453031e+00
  5.45314018e+00  6.26819254e+00  3.52763861e-01  2.65208721e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.18774647e+01  1.00000000e+02
 -3.68195346e-02 -3.52345773e+00  1.00000000e+00]",11,0.259772,0.259772,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.008031, 0.129679, 0.259772]",Noon,False
200,12,"[ 3.30050598e+02  3.49364433e+01  2.24623383e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.40000000e+01  0.00000000e+00
  2.84085013e-02  4.86465454e+01  5.14104962e-03  4.68060566e+00
  9.00000000e+00  9.00000000e+00  1.44413576e+01  0.00000000e+00
  1.52850891e+02  2.34921466e+02  1.34846366e+00  5.43412504e+00
  2.09153447e+00  6.25278049e+00  3.49602038e-01  2.38521100e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -2.36127011e-01 -1.23778357e-01  1.00000000e+00]",33,0.843962,0.843962,"[0.389588, 0.475225, 0.538797, 0.648393, 0.639135, 0.691948, 0.77249, 0.843962, 0.830758, 0.697459, 0.549431, 0.367982]",NPC vehicle overtake?lane=left&maintainlane=1&position=near,False
200,13,"[341.13427734  34.93942261 235.00854492   0.           0.
   0.          14.          -1.         359.9493103   47.83289719
 359.80532837   1.45777145  10.          10.          13.3693996
   9.91556884 152.41438435 166.14994493   1.348951     5.44923313
  36.31359265   6.34222864   9.91557024   5.89638462   0.
   0.           1.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          19.33562434 100.
   0.42028991  -0.84782928   1.        ]",33,0.249551,0.249551,"[0.249551, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",NPC vehicle overtake?lane=left&maintainlane=1&position=near,False
200,14,"[3.52761810e+02 3.49797058e+01 2.48617294e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.40000000e+01 1.00000000e+00
 1.09596044e-01 2.87892265e+01 3.59771606e+02 6.28464581e+00
 1.10000000e+01 1.10000000e+01 5.54313095e+01 9.99787441e+00
 1.49922402e+02 5.35097296e+02 1.34798015e+00 5.78175351e+00
 1.00000000e+02 1.00000000e+01 1.00000000e+02 2.00000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.20431784e+01 0.00000000e+00 1.00000000e+02
 1.63459249e+01 7.32446779e-01 1.00000000e+00]",23,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",NPC vehicle drive-ahead?lane=left&maintainlane=1&position=far,False
200,15,"[343.05935669  35.26564407 281.89541626   0.           0.
   0.          14.          -1.         358.45901489 317.88696289
 359.96722412   8.32982914  12.          12.          28.91831213
   9.999415    11.93677851 351.02410425   1.3576202    0.73514925
  67.61142272   6.67028891  66.79691802  13.73056228   0.
   0.           1.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          26.02036573   0.         100.
   0.549672     0.99183292   1.        ]",25,-1,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",NPC vehicle drive-ahead?lane=left&maintainlane=0&position=near,False
200,16,"[343.05935669  35.26564407 281.89541626   0.           0.
   0.          14.          -1.         358.45901489 317.88696289
 359.96722412   8.32982914  13.          13.          15.93488114
   0.         149.92181483 351.02410425   1.3576202    0.73514925
  67.61142272   6.67028891  66.79691802  13.73056228   0.
   0.           1.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          18.61983404   0.         100.
   0.46895093   0.45651237   1.        ]",10,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Morning,False
200,17,"[ 3.35056702e+02  3.56473732e+01  2.90671326e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  3.57968384e+02  3.17649139e+02  3.59975494e+02  9.22425362e-05
  1.30000000e+01  1.30000000e+01  1.82152088e+01  0.00000000e+00
  1.53305423e+02  4.44998369e+02  1.36028758e+00  7.39281922e-01
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99870092e+01  1.00000000e+02
  1.25618644e-02 -3.00000000e+00  1.00000000e+00]",12,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Evening,False
200,18,"[ 3.35056702e+02  3.56473770e+01  2.90671326e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+01  1.00000000e+00
  3.57968384e+02  3.17651184e+02  3.59975342e+02  1.11193729e-04
  1.30000000e+01  1.30000000e+01  3.10831642e+01  4.27891055e+00
  1.54494530e+02  4.96028731e+02  1.36026901e+00  7.39233650e-01
  5.10897034e+01  8.18624573e+00  5.03004528e+01  1.13088852e+01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99843402e+01  1.00000000e+02
  1.25618644e-02 -3.00000000e+00  1.00000000e+00]",33,-1,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",NPC vehicle overtake?lane=left&maintainlane=1&position=near,False
200,19,"[ 3.35056702e+02  3.56473770e+01  2.90671326e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+01  1.00000000e+00
  3.57968384e+02  3.17651184e+02  3.59975342e+02  1.11193729e-04
  1.40000000e+01  1.40000000e+01  2.07675116e+01  0.00000000e+00
  1.49921859e+02  4.96028731e+02  1.36026901e+00  7.39233650e-01
  5.10897034e+01  8.18624573e+00  5.03004528e+01  1.13088852e+01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99843402e+01  1.00000000e+02
  1.25618644e-02 -3.00000000e+00  1.00000000e+00]",28,-1,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",NPC vehicle overtake?lane=right&maintainlane=1&position=far,False
